Quote_TR,,Author,Topic
"Kasıtlı olarak kendinizde nezaket, sempati ve sabır fırsatlarını arayın.","Deliberately seek opportunities for kindness, sympathy, and patience.",Evelyn Underhill,wisdom
Önemli olan her şey her zaman önemsiz bir şeyden başlar.,Everything important always begins from something trivial.,Donald Hall,wisdom
İnsanın bilgeliği onun en iyi dostudur; en büyük düşmanı ise aptallıktır.,Man's wisdom is his best friend; folly his worst enemy.,William Temple,wisdom
"Hayatın küçük işlerini sabırla yaparken, hayatın büyük bütününün anlamı ve şekli yavaş yavaş sana görünür.",It is while you are patiently toiling at the little tasks of life that the meaning and shape of the great whole of life dawn on you.,Phillips Brooks,wisdom
"Öğrenme kütüphanelerde uyur ve horlar; ama bilgelik her yerdedir, uyanık ve tetikte.","Learning sleeps and snores in libraries, but wisdom is everywhere, wide awake, on tiptoe.",Josh Billings,wisdom
"Bilgi domatesin meyve olduğunu bilmektir. Bilgelik, onu meyve salatasına koymamayı bilmektir.",Knowledge is knowing that a tomato is a fruit. Wisdom is knowing not to put it in a fruit salad.,Brian O'Driscoll,wisdom
Bilgi edinmek için kişinin çalışması gerekir; ama bilgeliğe ulaşmak için gözlemlemek gerekir.,"To acquire knowledge, one must study; but to acquire wisdom, one must observe.",Marilyn vos Savant,wisdom
"İnsan hata yapmaktan kaçınamaz; fakat bilge kişiler, hatalarından geleceğe dair ders çıkarır.",To make no mistakes is not in the power of man; but from their errors and mistakes the wise and good learn wisdom for the future.,Plutarch,wisdom
Veri bilgi değildir; bilgi bilgelik değildir; bilgelik ise anlayış değildir.,"Data is not information, information is not knowledge, knowledge is not understanding, understanding is not wisdom.",Clifford Stoll,wisdom
"Deneyimler, cimrinin biriktirdiği servettir. Bilgelik ise savurganın bile tüketemeyeceği bir mirastır.",Experiences are savings which a miser puts aside. Wisdom is an inheritance which a wastrel cannot exhaust.,Karl Kraus,wisdom
Dünyayı kazanıp ruhunu kaybetme; bilgelik gümüşten veya altından daha iyidir.,Don't gain the world and lose your soul; wisdom is better than silver or gold.,Bob Marley,wisdom
Sevgi dolu bir kalp en gerçek bilgeliktir.,A loving heart is the truest wisdom.,Charles Dickens,wisdom
İyilikten daha büyük hangi bilgeliği bulabilirsin?,What wisdom can you find that is greater than kindness?,Jean-Jacques Rousseau,wisdom
"Yaşın getirdiği bilgelik: durma, yürümeye devam et.",The wisdom of age: don't stop walking.,Mason Cooley,wisdom
"Bilgi konuşur, bilgelik ise dinler.","Knowledge speaks, but wisdom listens.",Jimi Hendrix,wisdom
"Sessizlik, bilgeliği besleyen bir dinlenmedir.",Silence is the sleep that nourishes wisdom.,Francis Bacon,wisdom
"Bilgelik çoğu zaman yükseldiğimizde değil, alçaldığımızda daha yakındır.",Wisdom is oftentimes nearer when we stoop than when we soar.,William Wordsworth,wisdom
Akıntıya karşı yüz. Ters yöne git. Geleneksel bilgeliği görmezden gel.,Swim upstream. Go the other way. Ignore the conventional wisdom.,Sam Walton,wisdom
Sadaka ve bilgeliğin olduğu yerde ne korku ne de cehalet vardır.,"Where there is charity and wisdom, there is neither fear nor ignorance.",Francis of Assisi,wisdom
İyilik bilgelikten daha önemlidir ve bunun farkına varılması bilgeliğin başlangıcıdır.,"Kindness is more important than wisdom, and the recognition of this is the beginning of wisdom.",Theodore Isaac Rubin,wisdom
"Bir yasayı yapan şey bilgelik değil, otoritedir.",It is not wisdom but authority that makes a law.,Thomas Hobbes,wisdom
"Korku, hurafelerin ve acımasızlığın temel nedenidir; korkuyu aşmak ise bilgelik yolunun başlangıcıdır.","Fear is the main source of superstition, and one of the main sources of cruelty. To conquer fear is the beginning of wisdom.",Bertrand Russell,wisdom
Tam bir karanlıkta hepimiz aynıyızdır; bizi birbirimizden ayıran yalnızca bilgimiz ve bilgeliğimizdir. Gözlerinin seni aldatmasına izin verme.,"In complete darkness we are all the same, it is only our knowledge and wisdom that separates us, don't let your eyes deceive you.",Janet Jackson,wisdom
İnsan bilgeliklerinin tamamı iki kelimede özetlenir: sabret ve umut et.,All human wisdom is summed up in two words; wait and hope.,Alexandre Dumas,wisdom
"Bilgeliğimiz deneyimlerimizden, deneyimlerimiz ise aptallığımızdan gelir.","Our wisdom comes from our experience, and our experience comes from our foolishness.",Sacha Guitry,wisdom
En iyi bilgelik en zorlu mücadeleden gelir.,The best wisdom comes from the hardest struggle.,Xavier Rudd,wisdom
Acı insanı düşündürür. Düşünce insanı bilge yapar. Bilgelik hayatı çekilmez kılar.,Pain makes man think. Thought makes man wise. Wisdom makes life endurable.,John Patrick,wisdom
Gerçek bilgelik aptallıktan daha az kibirlidir. Bilge kişi sık sık şüpheye düşer ve fikrini değiştirir; Aptal inatçıdır ve şüphe duymaz; kendi cehaleti dışında her şeyi bilir.,"True wisdom is less presuming than folly. The wise man doubteth often, and changeth his mind; the fool is obstinate, and doubteth not; he knoweth all things but his own ignorance.",Akhenaton,wisdom
"Hiç kimse gençken bilgeliği aramakta yavaş olmasın, yaşlandığında da bilgeliği aramaktan yorulmasın. Çünkü hiçbir yaş, ruhun sağlığı için çok erken veya çok geç değildir.",Let no one be slow to seek wisdom when he is young nor weary in the search of it when he has grown old. For no age is too early or too late for the health of the soul.,Epicurus,wisdom
"Bizi iyi olmaktan uzaklaştıracak kadar büyük yapan büyüklük de, gerçek bilgeliğe mesafe koyan zekâ da mutsuzdur.",Unhappy is that grandeur which makes us too great to be good; and that wit which sets us at a distance from true wisdom.,Mary Astell,wisdom
"Üç tür insan vardır: bilgelik peşinde olanlar, şan ve şeref arayanlar ve kazanç peşinde koşanlar.","There are three classes of men; lovers of wisdom, lovers of honor, and lovers of gain.",Plato,wisdom
Mutluluğumuz her bakımdan bilgeliğe bağlıdır.,Our happiness depends on wisdom all the way.,Sophocles,wisdom
"En gerçek büyüklük, iyi kalpli olmaktır; en gerçek bilgelik ise mutlu bir zihne sahip olmaktır.","The truest greatness lies in being kind, the truest wisdom in a happy mind.",Ella Wheeler Wilcox,wisdom
"Hayatta gerilemeler, hatta yenilgiler beklenmelidir; bunlar bize bilgelik ve temkin kazandırır, gücümüzü ortaya çıkarır ve daha büyük felaketlerden korur.","We must expect reverses, even defeats. They are sent to teach us wisdom and prudence, to call forth greater energies, and to prevent our falling into greater disasters.",Robert E. Lee,wisdom
Büyük bilgelik cömerttir; küçük bilgelik tartışmacıdır. Büyük sözler tutkulu ve yapıcıdır; küçük sözler ise huysuz ve kavgacıdır.,"Great wisdom is generous; petty wisdom is contentious. Great speech is impassioned, small speech cantankerous.",Zhuangzi,wisdom
"İnsanın kendini tanıması bilgeliktir, komşusunu tanımaması ise dehalıktır.","To know one's self is wisdom, but not to know one's neighbors is genius.",Minna Antrim,wisdom
Ön yargılar bilgeliğe açılan kapının kilitleridir.,Preconceived notions are the locks on the door to wisdom.,Mary Browne,wisdom
Cehalete kapılmamak bilgeliktir.,Not engaging in ignorance is wisdom.,Bodhidharma,wisdom
"Yaş sana bilgelik getirmez, yaş sana kırışıklıklar getirir.","Age does not bring you wisdom, age brings you wrinkles.",Estelle Getty,wisdom
Bilgelik arttıkça bilgi küçülür.,Knowledge shrinks as wisdom grows.,Alfred North Whitehead,wisdom
"Espri ve şakacılık, kötülüğün son derece ciddi bir şekilde aşılmasıdır. Mizah, hem bir bilgelik biçimidir hem de bir hayatta kalma aracıdır.",Wit and playfulness represent a desperately serious transcendence of evil. Humor is both a form of wisdom and a means of survival.,Tom Robbins,wisdom
"Hata yapmaya devam edecek cesaretin varsa, bilgelik ve zekân büyük bir ivmeyle ilerler.","If you have the guts to keep making mistakes, your wisdom and intelligence leap forward with huge momentum.",Holly Near,wisdom
Şüpheleriniz olsa bile o adımı atın. Şansınızı deneyin. Hatalar asla başarısızlık değildir; bilgeliğe dönüştürülebilirler.,"Even when you have doubts, take that step. Take chances. Mistakes are never a failure - they can be turned into wisdom.",Cat Cora,wisdom
Yıl sonu ne bir son ne de bir başlangıçtır; deneyimin bize aşılayabileceği tüm bilgelikle devam eden bir süreçtir.,"Year's end is neither an end nor a beginning but a going on, with all the wisdom that experience can instill in us.",Hal Borland,wisdom
Başkalarının bilgisiyle bilgili olabiliriz ama başkalarının bilgeliğiyle bilge olamayız.,We can be knowledgable with other men's knowledge but we cannot be wise with other men's wisdom.,Michel de Montaigne,wisdom
Hayatın felsefesi şudur: Hayat bir savaş ya da gerilim değildir… Hayat bir mutluluktur; sonsuz bilgelik ve sonsuz varoluştur.,"The philosophy of life is this: Life is not a struggle, not a tension... Life is bliss. It is eternal wisdom, eternal existence.",Maharishi Mahesh Yogi,wisdom
Kibir kolayca bilgeliği geride bırakabilir. Genellikle sağduyunun önüne geçer.,Vanity can easily overtake wisdom. It usually overtakes common sense.,Julian Casablancas,wisdom
Bir atasözü birçok kişinin bilgeliği ve bir kişinin zekasıdır.,A proverb is the wisdom of many and the wit of one.,Lord John Russell,wisdom
Mantık bilgeliğin sonu değil başlangıcıdır.,"Logic is the beginning of wisdom, not the end.",Leonard Nimoy,wisdom
"Bu çağ, bilgeliğin okulundaki yamalı bir azizden çok, yaldızlı bir aptalı daha üstün görür.",This age thinks better of a gilded fool Than of a threadbare saint in wisdom's school.,Thomas Dekker,wisdom
Dünya çeşitliliklerle dolu bir yerdir. Erdem ve bilgelik üzerinde hiç kimsenin tekel hakkı yoktur.,The world is a diverse place. Nobody has a monopoly on virtue or wisdom.,Lee Hsien Loong,wisdom
"Bilgi, olguları üst üste yığma sürecidir; bilgelik ise onları sadeleştirmekte yatar.",Knowledge is a process of piling up facts; wisdom lies in their simplification.,Martin H. Fischer,wisdom
Bilgelik ne sabitlikte ne de değişimdedir; ikisi arasındaki diyalektiktedir.,"Wisdom lies neither in fixity nor in change, but in the dialectic between the two.",Octavio Paz,wisdom
"Cesaret, her zaman en kesin bilgeliğin kendisidir.",Courage is always the surest wisdom.,Wilfred Grenfell,wisdom
Bilgelik çoğu zaman bundan sonra ne yapılacağını bilmekten ibarettir.,Wisdom oft times consists of knowing what to do next.,Herbert Hoover,wisdom
"Çok az insan, kendisine fayda sağlayacak eleştiriyi, kendisini aldatan övgüye tercih edecek bilgeliğe sahiptir.","Few people have the wisdom to prefer the criticism that would do them good, to the praise that deceives them.",Francois de La Rochefoucauld,wisdom
"En ince ahmaklık, en ince bilgelikten kaynaklanır.",For the subtlest folly proceeds from the subtlest wisdom.,John Webster,wisdom
Ahlaki bir boyut taşıyan durumlarda gerekli olan şey pratik bilgeliktir.,Practical wisdom is what's called for in situations that have a moral dimension to them.,Barry Schwartz,wisdom
Adaletsiz bilgiye bilgelik yerine kurnazlık denir.,Knowledge without justice ought to be called cunning rather than wisdom.,Plato,wisdom
"Bazen ne kadar şeyin üstesinden gelebildiğine sen bile şaşarsın; eğer sonunda biraz bilgelikle çıkarsan, bu o kadar da kötü bir şey değildir.","Sometimes you surprise yourself with what you can handle, and if you come out the other end with some wisdom, then it's not such a bad thing.",Boy George,wisdom
"İnsan, düşmanından bile bilgelik öğrenebilir.",A man may learn wisdom even from a foe.,Aristophanes,wisdom
Güç ve bilgelik karşıt değerler değildir.,Strength and wisdom are not opposing values.,William J. Clinton,wisdom
Ham deha şimşek gibi parlayıp söner; bilgelik ise güneş gibi kalıcıdır.,"Genius unrefined resembles a flash of lightning, but wisdom is like the sun.",Franz Grillparzer,wisdom
"Şüphe, herkesin bilgelik tapınağına girmeden önce geçmesi gereken bir giriş kapısıdır.",Doubt is the vestibule through which all must pass before they can enter into the temple of wisdom.,Charles Caleb Colton,wisdom
Çam ağacı kışın da yeşil kalır…bilgelik ise zorluk anlarında kendini gösterir.,The pine stays green in winter... wisdom in hardship.,Norman Douglas,wisdom
"Günümüzün geleneksel anlayışına ters düşen yeni fikirler her zaman şüpheyle, küçümsemeyle, hatta korkuyla karşılanır.","New ideas that fly in the face of conventional wisdom of the day are always greeted with doubt and scorn, even fear.",John C. Bogle,wisdom
"Bilgeliğin değişmez işareti, sıradan olanda mucizeyi görebilmektir.",The invariable mark of wisdom is to see the miraculous in the common.,Ralph Waldo Emerson,wisdom
"Bilgeliği olmayan otorite, kesmeyen bir baltadır; sadece incitir.","Authority without wisdom is like a heavy ax without an edge, fitter to bruise than polish.",Anne Bradstreet,wisdom
Barış kırılgan bir şeydir. Onu sağlamak cesaret ister. Onu sürdürmek ise bilgelik gerektirir.,Peace is a fragile thing. It takes courage to secure it. It takes wisdom to maintain it.,Jenny Shipley,wisdom
Bilgeliğin bir kısmı artık neye ihtiyacınız olmadığını bilmek ve onu bırakmaktır.,One part of wisdom is knowing what you don't need anymore and letting it go.,Jane Fonda,wisdom
"Bilgeliğin bize tam anlamıyla mutlu olmamız için sunduğu şeyler arasında en büyüğü, dostluğa sahip olmaktır.","Of all the things which wisdom provides to make us entirely happy, much the greatest is the possession of friendship.",Epicurus,wisdom
Hiçbir şey söylememenin gerçek bir bilgeliği vardır.,There's a real wisdom to not saying a thing.,Willem Dafoe,wisdom
Deneyimsizlikten bilgeliğe giden yolun en sık kullanılan köprüsü hatalardır.,Mistakes are the usual bridge between inexperience and wisdom.,Phyllis Theroux,wisdom
"Konuşmak bilginin alanıdır, dinlemek ise bilgeliğin ayrıcalığıdır.","It is the province of knowledge to speak, and it is the privilege of wisdom to listen.","Oliver Wendell Holmes, Sr.",wisdom
Aptallık zamana bağlıdır; fakat bilgeliğin değerini hiçbir saat ölçemez.,"The hours of folly are measured by the clock; but of wisdom, no clock can measure.",William Blake,wisdom
İçgüdülerinizi takip edin. Gerçek bilgeliğin kendini gösterdiği yer burasıdır.,Follow your instincts. That's where true wisdom manifests itself.,Oprah Winfrey,wisdom
"Birbirimizden öğreniyoruz. Başkalarının hatalarından, deneyimlerinden, bilgeliklerinden öğreniriz. Kendi yaşamlarımızda daha iyi kararlar almamızı kolaylaştırır.","We learn from each other. We learn from others' mistakes, from their experience, their wisdom. It makes it easier for us to come to better decisions in our own lives.",Adrian Grenier,wisdom
"Neyin önemli olduğunu ve neyin olmadığını bilin. Yapılacak doğru şeyi bilecek bilgeliğe, bunu yapacak dürüstlüğe, yapmayanlara karşı duracak karaktere ve yapmayanları durduracak cesarete sahip olun.","Know what's important and what isn't. Have the wisdom to know the right thing to do, the integrity to do it, the character to stand up to those who don't, and the courage to stop those who won't.",Mark Goulston,wisdom
"Bilgelik, sonuçların öngörülmesinden oluşur.",Wisdom consists of the anticipation of consequences.,Norman Cousins,wisdom
En büyük bilgelik insanın kendi eksikliğini fark etmesidir.,The greatest wisdom is to realize one's lack of it.,Constantin Stanislavski,wisdom
"Bilgeliğin anahtarı şudur; sürekli ve sık sorgulamak, çünkü şüphe ederek sorgulamaya yönlendiriliriz ve sorgulayarak gerçeğe ulaşırız.","The key to wisdom is this - constant and frequent questioning, for by doubting we are led to question and by questioning we arrive at the truth.",Peter Abelard,wisdom
Mutluluk ile bilgelik arasında bir fark vardır: Kendini en mutlu insan sanan kişi aslında öyledir; ama kendini en bilge sanan kişi genellikle en büyük aptaldır.,There is a difference between happiness and wisdom: he that thinks himself the happiest man is really so; but he that thinks himself the wisest is generally the greatest fool.,Francis Bacon,wisdom
"Gerçek bilgeliğin temel noktalarından biri şudur; bir amacın gerçekleştiği her yerde, onu gerçekleştiren bir etken mutlaka bulunur.","It is a main point of true wisdom. Whenever there is an execution of purpose, there must be an agent.",Adoniram Judson,wisdom
Bilgelik tek başına tüm bilimlerin bilimidir.,Wisdom alone is the science of other sciences.,Plato,wisdom
Mantıkla ve deneyle doğrulayamadığınız sürece geleneksel bilgelikten şüphe edin.,Doubt the conventional wisdom unless you can verify it with reason and experiment.,Steve Albini,wisdom
Sessizlik gerçek bilgeliğin en iyi yanıtıdır.,Silence is true wisdom's best reply.,Euripides,wisdom
Kısa bir söz çoğu zaman çok fazla bilgelik içerir.,A short saying often contains much wisdom.,Sophocles,wisdom
"Trajedi, yaşayanların bilgelik kazanmaları için bir araçtır, yaşayacakları bir rehber değil.","Tragedy is a tool for the living to gain wisdom, not a guide by which to live.",Robert Kennedy,wisdom
"Baykuş geleneksel olarak bilgeliğin sembolüdür, dolayısıyla biz ne güverciniz ne de şahiniz; biz baykuşuz ve başkaları dinlenirken biz tetikte oluruz.","An owl is traditionally a symbol of wisdom, so we are neither doves nor hawks but owls, and we are vigilant when others are resting.",Urjit Patel,wisdom
Hayattaki her değerli şey zorlukla elde edilir; fakat bunların en zoru bilgeliktir.,"In life, all good things come hard, but wisdom is the hardest to come by.",Lucille Ball,wisdom
Doğru zamanda sessiz kalmak bilgeliktir ve o anda söylenecek her sözden daha değerlidir.,"Silence at the proper season is wisdom, and better than any speech.",Plutarch,wisdom
"İyi bir tavsiyeden yararlanmak, onu vermekten daha fazla bilgelik gerektirir.",To profit from good advice requires more wisdom than to give it.,Wilson Mizner,wisdom
"Bazen insan, doğruyu ancak artık onu uygulamak için çok geç olduğunda anlar.",Sometimes wisdom comes to us when it can no longer do any good.,Ravi Shastri,wisdom
Sırrını saklamak bilgeliktir; ama başkalarının onu saklamasını beklemek budalalıktır.,To keep your secret is wisdom; but to expect others to keep it is folly.,Samuel Johnson,wisdom
Bilgeliğin temeli iyiliktir; ama iyiliğin temeli bilgelik değildir.,"Wisdom has its root in goodness, not goodness its root in wisdom.",Ralph Waldo Emerson,wisdom
"Ne ültimatomları, ne yaygın kanaatleri, ne de mutlak doğruları olduğu gibi kabul et.","Never accept ultimatums, conventional wisdom, or absolutes.",Christopher Reeve,wisdom
Bilgelik ancak araştırma ve sorgulama sonucunda elde edilir.,Wisdom is not acquired save as the result of investigation.,Sara Teasdale,wisdom
"Çoğu zaman çok fazla bilgelik, en az kelimeyle sağlanır.",Much wisdom often goes with fewest words.,Sophocles,wisdom
Kurnazlık... bilgeliğin aşağılık bir taklidinden başka bir şey değildir.,Cunning... is but the low mimic of wisdom.,Plato,wisdom
"Deneyimlerimiz, kazandığımız bilgelikten çok, yitirdiğimiz hayallerden oluşur.",Our experience is composed rather of illusions lost than of wisdom acquired.,Joseph Roux,wisdom
"Bir düşünce gerçekten sağlam ve mantıklıysa, zamanla herkes tarafından kabul edilen bir gerçek olur.","If an idea is indeed sensible, it will eventually become just part of the accepted wisdom.",Nigel Farage,wisdom
"Ölçülülük, bilgeliğin ayrılmaz yoldaşıdır; ama deha onunla neredeyse hiç tanışmamıştır.","Moderation is the inseparable companion of wisdom, but with it genius has not even a nodding acquaintance.",Charles Caleb Colton,wisdom
Bilgelik yaşa göre değil kapasiteye göre kazanılır.,Not by age but by capacity is wisdom acquired.,Plautus,wisdom
"Yaşamın nihai bilgeliği, hayatın tutarsızlıklarını yok etmek değil, onlarla birlikte ve onların ötesinde iç huzurunu bulabilmektir.",The final wisdom of life requires not the annulment of incongruity but the achievement of serenity within and above it.,Reinhold Niebuhr,wisdom
"Bilgeliğe ulaşabilmek için, önce bilmediklerimizin farkına varmamız gerekir.",In order to have wisdom we must have ignorance.,Theodore Dreiser,wisdom
"İnsanların kusurlarını görmek, ama buna rağmen onlara kötülük istememek; belki de en büyük bilgelik ve erdemdir.","To think ill of mankind and not wish ill to them, is perhaps the highest wisdom and virtue.",William Hazlitt,wisdom
Güçlü bir hafıza asla bilgelikle eş anlamlı değildir; tıpkı bir sözlüğe bilimsel eser denilemeyeceği gibi.,"A great memory is never made synonymous with wisdom, any more than a dictionary would be called a treatise.",John Henry Newman,wisdom
"Bilgelik ve anlayış; yalnızca eski gözlem, dikkat, azim ve çalışkanlık yolunu takip eden bireylerin mülkiyeti haline gelebilir.","Wisdom and understanding can only become the possession of individual men by travelling the old road of observation, attention, perseverance, and industry.",Samuel Smiles,wisdom
"Bilgelik, nihai olarak ne yapılacağını bilmekten çok, sıradaki doğru adımın ne olduğunu bilmektir.",Wisdom consists not so much in knowing what to do in the ultimate as knowing what to do next.,Herbert Hoover,wisdom
"Bilgelik ve deneyim, taklit edilemeyen bir güzelliğe sahiptir. Gerçek olgunluk ancak yaşayarak kazanılır.",There's a beauty to wisdom and experience that cannot be faked. It's impossible to be mature without having lived.,Amy Grant,wisdom
"Mutlulukta ya da bilgelikte süreklilik isteyen kişi, sık sık değişmeyi göze almalıdır.","They must often change, who would be constant in happiness or wisdom.",Confucius,wisdom
"Bilgelik geçmişin özüdür, güzellik ise geleceğin vaadidir.","Wisdom is the abstract of the past, but beauty is the promise of the future.","Oliver Wendell Holmes, Sr.",wisdom
"Bilgeliğin bir kısmını, mutlaka bilge birinden öğrenmelisin.",Some wisdom you must learn from one who's wise.,Euripides,wisdom
"İyilik bilgeliğin, adalet ise nedenden daha derin vicdani değerlerin ürünüdür.","It is not from reason that justice springs, but goodness is born of wisdom.",Maurice Maeterlinck,wisdom
"Bilgelik en iyi, insanı mütevazı olmaya zorlayan gerçeklerle yüzleştiğinde gelişir.",Wisdom may best arise from a humbling reality.,Michael Leunig,wisdom
"Bilgelik, insanın varlığının bir parçası haline gelmiş bilgidir.",Wisdom is knowledge which has become a part of one's being.,Orison Swett Marden,wisdom
Bizim sahip olduğumuz ama makinelerin sahip olmadığı şey bilgelik sergileme yeteneğidir.,"The thing that we possess, that machines don't, is the ability to exhibit wisdom.",Herbie Hancock,wisdom
Disiplin bilgeliktir ve bunun tersi de geçerlidir.,Discipline is wisdom and vice versa.,M. Scott Peck,wisdom
"Hem düşüncede hem de duyguda, zaman gerçek olsa bile zamanın önemsizliğini anlamak bilgeliğin kapısıdır.","Both in thought and in feeling, even though time be real, to realise the unimportance of time is the gate of wisdom.",Bertrand Russell,wisdom
Cesaret olmadan bilgelik meyve vermez.,"Without courage, wisdom bears no fruit.",Baltasar Gracian,wisdom
Acı bilgeliğe ve gerçeğe açılan kapıdır.,Pain is the doorway to wisdom and to truth.,Keith Miller,wisdom
Bir çağın felsefeleri bir sonrakinin saçmalıkları haline gelmiş; dünün aptallığı ise yarının bilgeliği olmuştur.,"The philosophies of one age have become the absurdities of the next, and the foolishness of yesterday has become the wisdom of tomorrow.",William Osler,wisdom
Ne zaman duracağını bilmelisin; bu bilgeliktir.,You have to know when to stop - that's wisdom.,Hubert de Givenchy,wisdom
Bilgi zamanın sonucudur ve bilgeliği öğretmek için en uygun günler çoktur.,"Knowledge is the consequence of time, and multitude of days are fittest to teach wisdom.",Jeremy Collier,wisdom
Korkunun olduğu yerde bilgelik olamaz.,"Where fear is present, wisdom cannot be.",Lactantius,wisdom
Gücümüz olduğu için bilgeliğimizin de olduğunu düşündük.,"We thought, because we had power, we had wisdom.",Stephen Vincent Benet,wisdom
Kitaplar birikmiş bilgeliğin sürekli yanan lambalarıdır.,Books are the ever burning lamps of accumulated wisdom.,George William Curtis,wisdom
"Bilgeliğin ilk amacı yanlış olanı ayırt etmektir; ikincisi, neyin doğru olduğunu bilmek.","The first point of wisdom is to discern that which is false; the second, to know that which is true.",Lactantius,wisdom
"Geleneksel bilgeliği reddetmeye alıştığınızda, bu sizi daha fazla öğrenmeye açık bırakır.","When you're used to being prepared to reject conventional wisdom, it leaves you open to learn more.",Mayim Bialik,wisdom
Öğüt veririz ama bundan faydalanacak bilgeliği veremeyiz.,"We give advice, but we cannot give the wisdom to profit by it.",Francois de La Rochefoucauld,wisdom
"Bilgelik, daha fazlasını bilemediği için alçakgönüllüdür.",Wisdom is humble that he knows no more.,William Cowper,wisdom
"Bir davranış kendi başına ne kadar görkemli olursa olsun, bilgelik ve bilinçli bir niyetin ürünü değilse büyük sayılmamalıdır.","However glorious an action in itself, it ought not to pass for great if it be not the effect of wisdom and intention.",Francois de La Rochefoucauld,wisdom
"Bilgelik diyalogdan doğar, dolayısıyla onların kendi bilgeliklerini keşfedebilmeleri için kendi cehaletinizi ortaya çıkarma kapasitesini geliştirmelisiniz.",Wisdom comes out of dialogue so you have to develop the capacity to expose your own ignorance in order that they may discover their own wisdom.,John B. Goodenough,wisdom
"Bilgelik en kötüsüne hazırlanır, aptallık en kötüsünü geldiği güne bırakır.","Wisdom prepares for the worst, but folly leaves the worst for the day when it comes.",Richard Cecil,wisdom
"Bilgelik, tüm görüş ve düşüncelerimizin yanılabilir olduğunu akılda tutmaktır.",Wisdom is keeping a sense of fallibility of all our views and opinions.,Gerald Brenan,wisdom
Bir değiş tokuş var; yaşlandıkça bilgelik kazanırsınız ama öznelliğinizden kaybedersiniz.,There is a trade off - as you grow older you gain wisdom but you lose spontaneity.,Kenny Rogers,wisdom
Bilgeler bilgeliğin hazinesini cömertçe ortaya koyabilir; ama hazdan daha katı bir ahlak öğretmeni yoktur.,"Though sages may pour out their wisdom's treasure, there is no sterner moralist than pleasure.",Lord Byron,wisdom
"Kitaplar, hiç bilgeliği olmayan birine bilgelik vermez. Ama içinde biraz bilgelik olan birinin bilgeliğini ise daha da artırır.","Books give not wisdom where none was before. But where some is, there reading makes it more.",Elizabeth Hardwick,wisdom
"Radikal sağduyu; geçmiş deneyimlerden kazanılan, bugünün gelip geçici fırsatlarını görebilen bilgeliktir. Yanıldığını kabul edebilmek ve başarısızlık karşısında vazgeçmemektir.",Radical common sense is the wisdom gleaned from the past that recognizes the perishable opportunities of the moment. It is the willingness to admit error and the refusal to be deterred by failure.,Marilyn Ferguson,wisdom
"Öncülük, olağanüstü bilgelik ister.",You need to have extraordinary wisdom to be the forerunner.,Ma Huateng,wisdom
Bilgeliğin başlangıcı onu arzulamaktır.,The beginning of wisdom is to desire it.,Solomon Ibn Gabirol,wisdom
"Bilgeliğin yüceliği, ölürken arzu edilecek şeyleri yaşarken yapmaktır.","The sublimity of wisdom is to do those things living, which are to be desired when dying.",Norman Douglas,wisdom
"Motivasyon, yalnızca zihne yapılan bir çağrı değil, kalp için verilen bir mücadeledir. Tutku ise her zaman ruhun bir ifadesidir.","Motivation is a battle for the heart, not just an appeal to the mind. Passion is always an expression of the soul.",Patrick Dixon,
"Dünyanın insanların niyetlerine biçtiği değer, çoğu zaman son derece adaletsiz ve yanlıştır.",The value the world sets upon motives is often grossly unjust and inaccurate.,H. L. Mencken,
"Hayatı kasvetli kılan şey, bir amacın olmayışıdır.",What makes life dreary is the want of motive.," George Eliot, Daniel Deronda",
"Samimi bir iyi niyet, insana beklenmedik bir güç verir.",A good intention clothes itself with sudden power. ,Ralph Waldo Emerson,
"Bugün dünyayı iyileştiremeyiz. Ama işe şefkat dolu bir sesle, sevgi dolu bir yürekle ve tek bir iyilik hareketiyle başlayabiliriz.","We can’t heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness.",Mary Davis,
Merakla dinleyin. Dürüstçe konuşun. Erdemle hareket edin.,Listen with curiosity. Speak with honesty. Act with integrity.,Roy T. Bennett,
Başka biriyle bağlantı kurmanın en temel ve güçlü yolu dinlemektir.,The most basic and powerful way to connect to another person is to listen.,,
"Gerçekten ve derinden dinlemek, bir insanın yaşadığı acıyı hafifletebilecek en güçlü davranışlardan biridir.",Deep listening is the kind of listening that can help relieve the suffering of another person.,Thich Nhat Hanh,
"Hayatta karşılaştığın herkes sana bir şey öğretebilir. Bunu fark ettiğinde, insanları gerçekten dinlemeye başlarsın.","Every person in this life has something to teach—and as soon as you accept that, you open yourself to truly listening.",Adam Grant,
"Tüm canlılara karşı saygı geliştirelim. Şiddetin ve hoşgörüsüzlüğün yerine anlayışı, şefkati ve sevgiyi koymaya çalışalım.","Let us develop respect for all living things. Let us try to replace violence and intolerance with understanding, compassion and love.",Jane Goodall,
"‘Her şey yoluna girer.’ deriz; ama hayır. Geleceği gerçekten şekillendiren şey, yaptıklarımızdır.","We say 'things will turn out', but no. It's what we do that actually creates the future.",Jane Goodall,
"Doğadaki tek bir şeyi çekiştirdiğinde, onun dünyanın geri kalanına bağlı olduğunu görürsün.","When one tugs at a single thing in nature, one finds it attached to the rest of the world.",John Muir,
Başıma gelenler beni değiştirebilir. Ama onlar tarafından küçültülmeyi reddediyorum.,I can be changed by what happens to me. But I refuse to be reduced by it.,Maya Angelou,
